Site,County,State,BP,Nuts,EAC,IP,Source
Boudinot 4,Athens,OH,2535,398,24,0,"Wymer and Abrams 2003:184, 185"
State Line,Hamilton,OH,770,141,10,1578,Wheelersburg 83.0354166666667
Triangle (near Hopeton),Ross,OH,1035,78,0,0,"Lynott 2009:139, 140"
Triangle (near Hopeton),Ross,OH,3945,830,0,0,Lynott 2009:140
Overly Tract (near Hopeton),Ross,OH,1800,807,1113,0,Dancey 2009:92-94
40BT47 ,Blount,TN,755,589,6,1325,Crites 1991a:195-200
40BT47 ,Blount,TN,2540,4722,0,0,Crites 1991a:187
40HW30 ,Hawkins,TN,1250,1248,0,0,Knott 1981:408
40HW44 ,Hawkins,TN,2500,5683,18,0,Knott 1981:404-405
40HW44 ,Hawkins,TN,2650,1328,2,0,Knott 1981:404-405
40HW45 ,Hawkins,TN,2500,816,17,0,"Knott 1981:401, 403"
40HW45 ,Hawkins,TN,2650,367,1,0,"Knott 1981:401, 403"
40HW45 ,Hawkins,TN,2850,7063,111,0,Knott 1981:401-403
Birdwell ,Greene,TN,775,1539,6,135,Johanson et al. 84.1722222222222
Birdwell ,Greene,TN,1900,860,210,4,Johanson et al. 84.1722222222222
Fernvale ,Williamson,TN,1900,1847,0,0,Bishop 2013:359-361
Fernvale ,Williamson,TN,3870,3883,3,0,"Bishop 2013:116, 359-361"
McFarland ,Coffee,TN,1975,16578,4730,1,Kline et al. 82.6236111111111
Parks ,Coffee,TN,850,1134,1,17,"Crites 1982:Table 39, 40"
Parks ,Coffee,TN,925,279,14,0,"Crites 1982:Table 39, 40"
Parks ,Coffee,TN,1975,20809,6,0,"Crites 1982:Table 39, 40"
Peters ,Franklin,TN,1500,22015,488,10,Crites 1978:85
Raus ,Bedford,TN,1500,284,55,0,Crites 1978:86
Shofner ,Bedford,TN,1500,6484,315,4,Crites 1978:86
Sogom ,Davidson,TN,900,536,0,4,Norton and Broster 83.5097222222222
Westmoreland-Barber ,Marion,TN,1285,80904,821,74,Gremillion and Yarnell 1986:4-5
Westmoreland-Barber ,Marion,TN,2705,211,1,0,Gremillion and Yarnell 1986:4-5
Banks III,Coffee,TN,1500,17699,0,0,Crites 1978:84
Banks V,Coffee,TN,1500,23031,5,0,Crites 1978:84
Brandywine Pointe,Davidson,TN,890,118,5,43,Moore and Smith 83.0715277777778
Eoff I,Coffee,TN,1500,19860,1,0,Crites 1978:84
"Hayes, II",Marshall,TN,4270,210,0,0,Crites 1987:21-3
Owl Hollow,Franklin,TN,1750,36576,185,0,Crites 1978:85
Childers ,Mason,WV,1500,28764,6248,14,"Wymer 1990:562, 567-568, 572"
Woods ,Mason,WV,1100,705,90,458,"Wymer 1990:590, 593-595"
